"e","z","n"
0.057,0,1
0.064,0,1
0.064,0,1
0.066,1,1
0.462,0,1
0.086,0,2
0.114,0,2
0.117,0,2
0.118,0,2
0.119,0,2
0.126,0,2
0.231,1,2
0.261,1,2
0.211,1,3
0.216,1,3
0.218,0,3
0.648,1,3
0.143,0,4
0.144,2,4
0.210,1,4
0.244,0,4
0.530,3,6
0.796,2,6
1.622,4,6
0.561,2,7
0.762,0,7
1.222,1,7
0.513,4,8
0.532,0,8
0.936,1,8
0.503,1,9
0.564,0,9
0.572,2,9
0.583,0,9
0.722,0,9
0.771,2,9
1.873,4,9
0.532,0,10
0.584,0,10
0.672,2,10
0.722,1,10
0.904,1,11
1.236,0,11
0.950,0,12
1.405,1,12
0.776,3,13
1.013,0,13
0.739,0,14
1.770,1,14
0.821,0,15
1.115,2,15
1.164,3,15
1.164,0,15
1.303,0,16
1.774,3,16
3.585,1,16
1.193,1,17
1.213,1,17
1.232,1,17
1.517,4,17
1.520,3,17
1.862,3,17
1.888,1,17
1.247,0,18
1.381,2,18
1.643,2,18
1.660,4,18
1.827,4,19
1.486,3,20
1.593,2,20
2.265,4,20
1.524,1,21
1.759,3,21
1.309,0,22
1.529,4,24
1.677,1,24
1.654,2,25
1.785,3,25
1.979,4,25
1.767,4,26
2.465,2,26
1.750,2,27
2.458,4,27
2.383,2,28
2.717,3,28
2.282,0,32
2.115,0,33
2.852,2,33
2.856,5,33
3.174,5,33
2.369,1,35
2.557,1,35
3.859,3,35
2.641,1,37
2.741,1,38
3.055,3,38
3.513,1,38
2.728,2,40
3.354,6,40
3.814,0,40
4.014,2,41
2.612,2,42
2.815,1,43
4.294,2,43
3.450,8,44
3.628,6,45
4.219,1,45
3.932,6,47
4.082,4,47
4.203,1,48
4.022,3,51
4.636,5,51
5.571,2,56
6.436,4,57
5.344,3,60
4.445,4,61
4.705,5,61
5.039,2,61
6.043,6,68
5.121,8,69
11.260,5,69
5.789,0,73
6.044,6,74
5.569,8,75
6.130,7,75
6.249,3,79
7.002,3,91
7.851,9,99
9.573,7,104
12.050,18,133
12.131,17,152
